item,price,store,image
Lenovo Ideapad 320 (i5/8/1TB/R5 M530) Netbook PC + Microsoft 1850 Mouse,"9,649 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Dell Inspiron 15R 3567 (i3/4/1TB/R5 M340) Notebook PC,"7,250 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 3567 (i7/8/1TB/R5 M340) Notebook PC + Free Bag,"11,299 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 5559 (i7/8/1TB/ATI) Notebook PC,"11,950 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Legion Y520 (i7/16/2TB+256G SSD/NVIDIA) Notebook PC,"24,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Dell Inspiron 15R 5559 (i7/16/2TB/ATI) Notebook PC,"14,800 L.E",Sigma Computer,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"9,000 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15R 3567 (i7/8/1TB/R5 M340) Notebook PC,"10,750 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Lenovo Ideapad 310 (i5/8/1TB/NVIDIA) Notebook PC,"9,500 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_i310_laptop.jpg
Lenovo ThinkPad X260 (i5/4/500/W10) Notebook PC,"23,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_thinkpad_x260.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"8,399 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad Y700 (i7/16/1TB+128G SSD/NVidia/W10) Notebook PC,"21,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Dell Inspiron 15R 3567 (i5/4/500/R5 M340) Notebook PC,"8,699 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
